Address,City,ZIP,Num_Employers,Total_LCAs,Workers,Employers
13929 Center Lake Dr.,Austin,78753,5,23,23,"Qualcomm Technologies, Inc.; Akshaya Inc.; Tata Consultancy Services Limited; Qualcomm Innovation Center, Inc. ; Avani Technology Solutions, Inc."
5717 Legacy Drive,Plano,75024,5,5,5,ISTEER INC; Ideas2IT Technologies LLC; Ideas2It Technologies LLC; OXYA CORPORATION; TECHSUN SOFT INC
6100 Ohio Drive,Plano,75024,5,7,7,"ConnectedX Inc; Speridian Technologies, LLC; Discovery Analytics Inc; Ernst & Young U.S. LLP; GREEN BRAINS IT SOLUTIONS INC"
6021 Connection Drive,Irving,75039,5,38,38,"Epsilon Data Management LLC; Infinite Computer Solutions, Inc.; Sapient Corporation; Avaya LLC; AVS Solutions Inc"
ONE DESTINY WAY,WESTLAKE,76262,5,11,20,"COMPUNNEL SOFTWARE GROUP, INC; COMPUNNEL SOFTWARE GROUP INC.; COMPUNNEL SOFTWARE GROUP, INC.; VIRTUSA CORPORATION; KFORCE INC. "
2271 Sage Hill Ln,Coppell,75019,5,5,5,SRI Software Solutions LLC; Siri Software Solutions LLC; ALGOBRAINZ LLC; Petabyte Technologies LLC; LUMEN IT SERVICES LLC
2702 Love Field Dr.,Dallas,75235,5,10,10,"Southwest Airlines Co.; LTIMINDTREE Limited; Qentelli, LLC; Cigniti Technologies, Inc.; Broadgate, Inc."
1200 W Walnut Hill Ln,Irving,75038,5,7,7,"First Cloud Inc; Stixis Technologies, Inc. ; PVR AMERICA INC; IT Face, Inc.; BENED SOFTWARE SERVICES INC."
1 SKYVIEW DRIVE,FORT WORTH,76155,5,6,6,"EFICENS SYSTEMS INC; AMERICAN AIRLINES, INC.; INFO KEYS INC; COMTEC CONSULTANTS, INC; OM TEK INC"
TWO DESTINY WAY,WESTLAKE,76262,5,13,13,"COMPUNNEL SOFTWARE GROUP, INC; DEV SYSTEMS INC.; COMPUNNEL SOFTWARE GROUP INC.; HCL GLOBAL SYSTEMS INC; NEONSOFT INC"
5700 Democracy Drive,Plano,75024,5,8,8,"Tech Mahindra (Americas) Inc.; Dish Wireless LLC; Teknismart Solutions Inc; Dish Wireless, L.L.C.; Tech Mahindra Technologies, Inc."
2780 Lake Vista Dr,Lewisville,75067,4,4,4,"Trellis Technology Solutions LLC; Collaborate Solutions Inc; COMPUNNEL SOFTWARE GROUP, INC; Pinnacle Technical Resources, Inc."
17 Cowboys Way,Frisco,75034,4,7,7,"Comerica Management Company; Bigdata Dimension, Inc.; Baker Tilly Advisory Group, LP; Cyma Systems Inc"
7700 W Parmer Lane,Austin,78729,4,4,4,"ERP Analysts, Inc.; Scopus IT, Inc.; IBM Corporation; eBay Inc."
3000 SCHWAB LN,SOUTHLAKE,76092,4,5,5,"COMPUNNEL SOFTWARE GROUP, INC; Mphasis Corporation ; PERSISTENT SYSTEMS LIMITED; DATAEDGE, INC"
10300 Energy Dr,Spring,77389,4,5,14,HP Inc.; CAPGEMINI AMERICA INC; LatentView Analytics Corporation; Mphasis Corporation
3000 Schwab Ln,Southlake,76092,4,6,10,"WIPRO LIMITED; COMPUNNEL SOFTWARE GROUP, INC; Mindlance Inc.; TekinvaderZ LLC"
7700 W PARMER LN,AUSTIN,78729,4,5,5,"CDI SOLUTIONS, INC.; Dataquad Inc; BLOCKCHAIN TECHNOLOGIES LLC; SKILLTUNE TECHNOLOGIES INC"
